,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
361,8476992,Marek Mazanec,NSH,G,25,80972.0,54.06,64.0,1302.0,44.76,29.0,155.39,126.0,686.65,650.0,20.32,20.0,387.31,333.0,290.75,378.0,52.7,766.0,142.0,46.0,21.7,16.86,15.5,22.0,20.0,22.0,348.0,0.0,0.0
366,8473434,Chad Johnson,BOS,G,27,90649.0,63.12,53.0,1315.0,48.43,43.0,158.45,186.0,702.23,708.0,26.66,31.0,387.1,296.0,288.26,377.0,60.87,706.0,201.0,61.0,21.26,24.35,17.51,12.0,20.0,21.0,347.0,0.0,0.0
371,8474765,Anders Lindback,T.B,G,23,78139.0,58.18,63.0,1123.0,42.4,38.0,136.85,129.0,608.47,580.0,21.62,21.0,344.67,266.0,252.09,325.0,56.18,634.0,167.0,53.0,19.49,19.9,18.8,16.0,26.0,21.0,269.0,2.0,1.0
376,8471734,Jonathan Quick,L.A,G,49,173685.0,110.18,100.0,2265.0,86.43,89.0,286.92,238.0,1255.25,1183.0,51.51,57.0,693.85,588.0,518.78,671.0,106.56,1312.0,314.0,110.0,35.44,37.14,37.59,24.0,36.0,40.0,529.0,2.0,1.0
381,8470216,Josh Harding,MIN,G,29,99463.0,53.02,46.0,1379.0,47.65,45.0,169.57,191.0,719.85,690.0,23.59,20.0,407.0,304.0,307.53,399.0,51.42,800.0,165.0,43.0,20.06,19.69,13.27,13.0,21.0,12.0,371.0,0.0,0.0
386,8471774,Alex Stalock,S.J,G,24,75103.0,40.64,39.0,1043.0,36.41,36.0,129.97,139.0,555.28,571.0,21.78,21.0,307.63,234.0,242.27,306.0,39.87,615.0,126.0,34.0,16.63,14.81,9.2,14.0,16.0,9.0,268.0,2.0,1.0
391,8475883,Frederik Andersen,ANA,G,28,94166.0,66.72,60.0,1498.0,54.06,50.0,179.44,200.0,787.82,783.0,26.08,28.0,449.36,376.0,331.53,397.0,65.04,870.0,182.0,55.0,24.65,22.24,19.83,12.0,23.0,25.0,391.0,0.0,0.0
396,8474593,Jacob Markstrom,VAN,G,16,48801.0,33.87,46.0,669.0,25.46,28.0,81.47,75.0,364.24,361.0,13.16,19.0,202.12,157.0,150.93,191.0,32.6,373.0,100.0,33.0,11.48,11.75,10.64,14.0,16.0,16.0,163.0,0.0,0.0
401,8470657,Jimmy Howard,DET,G,51,180228.0,126.07,133.0,2577.0,97.77,101.0,325.62,386.0,1418.17,1482.0,47.44,48.0,786.26,593.0,582.3,710.0,122.53,1488.0,361.0,115.0,41.89,44.32,39.87,46.0,39.0,48.0,613.0,6.0,3.0
406,8473503,James Reimer,TOR,G,36,107079.0,98.59,98.0,2069.0,75.26,72.0,270.04,271.0,1127.93,1095.0,25.97,19.0,632.6,592.0,464.73,506.0,93.71,1201.0,289.0,90.0,32.96,35.62,30.0,40.0,31.0,27.0,489.0,2.0,1.0
411,8471469,Pekka Rinne,NSH,G,24,82009.0,48.53,63.0,1221.0,43.28,27.0,146.77,171.0,639.71,645.0,19.67,24.0,364.72,288.0,267.13,318.0,46.97,704.0,147.0,40.0,18.96,17.31,12.26,22.0,28.0,13.0,330.0,0.0,0.0
416,8473523,Jhonas Enroth,BUF,G,28,94454.0,73.46,74.0,1531.0,57.83,46.0,189.75,183.0,829.03,834.0,21.57,26.0,478.51,358.0,346.46,474.0,70.01,903.0,211.0,59.0,27.31,24.4,21.75,32.0,26.0,16.0,358.0,0.0,0.0
