,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
1,8470140,Kari Lehtonen,ATL,G,46,157455.0,129.82,134.0,2573.0,92.29,93.0,306.98,338.0,1366.01,1498.0,36.75,28.0,762.51,623.0,576.22,745.0,125.46,1497.0,361.0,110.0,46.02,43.49,40.3,42.0,41.0,51.0,605.0,6.0,3.0
6,8470147,Curtis McElhinney,CGY,G,13,27256.0,22.22,27.0,389.0,15.63,20.0,51.15,52.0,227.88,241.0,8.27,10.0,129.78,99.0,94.83,118.0,21.27,240.0,61.0,22.0,7.22,7.77,7.23,7.0,10.0,10.0,66.0,0.0,0.0
11,8467430,Dany Sabourin,PIT,G,19,59366.0,43.21,47.0,917.0,32.07,32.0,107.36,112.0,462.96,463.0,13.69,13.0,254.82,214.0,192.89,228.0,41.21,484.0,119.0,44.0,15.14,14.06,14.01,13.0,19.0,15.0,270.0,2.0,1.0
16,8469514,Peter Budaj,COL,G,56,191512.0,136.02,154.0,3070.0,101.74,127.0,341.84,322.0,1503.93,1531.0,45.57,41.0,831.89,684.0,645.44,840.0,131.87,1699.0,366.0,117.0,51.39,44.38,40.25,55.0,52.0,47.0,888.0,0.0,0.0
21,8473607,Michal Neuvirth,WSH,G,5,13193.0,7.95,11.0,180.0,6.61,8.0,21.61,23.0,94.34,102.0,4.34,4.0,51.82,40.0,40.72,48.0,7.67,108.0,19.0,6.0,3.22,2.34,2.38,5.0,3.0,3.0,47.0,0.0,0.0
26,8471469,Pekka Rinne,NSH,G,52,178752.0,117.1,119.0,2553.0,92.7,89.0,312.96,400.0,1390.6,1435.0,44.3,57.0,780.05,595.0,596.23,704.0,113.58,1512.0,337.0,103.0,44.37,40.63,32.1,41.0,45.0,33.0,601.0,6.0,3.0
31,8462117,Vesa Toskala,TOR,G,52,177444.0,145.33,163.0,2940.0,104.26,81.0,338.42,307.0,1533.72,1496.0,51.18,56.0,842.76,748.0,653.57,788.0,139.07,1594.0,416.0,137.0,46.97,50.35,48.0,56.0,49.0,58.0,793.0,2.0,1.0
36,8473632,Josh Tordjman,ARI,G,2,7062.0,4.87,8.0,109.0,3.57,4.0,12.45,10.0,54.58,62.0,2.33,3.0,29.37,22.0,23.98,29.0,4.79,59.0,12.0,5.0,1.97,1.58,1.33,3.0,3.0,2.0,33.0,0.0,0.0
41,8467391,Jason LaBarbera,VAN,G,27,85293.0,59.31,66.0,1210.0,47.4,55.0,157.18,147.0,685.39,665.0,21.93,24.0,385.48,322.0,287.9,360.0,56.36,756.0,145.0,60.0,21.84,17.57,19.9,21.0,24.0,21.0,249.0,2.0,1.0
46,8471305,Daniel Lacosta,CBJ,G,3,9341.0,5.7,4.0,141.0,4.99,3.0,18.38,11.0,78.59,80.0,2.28,2.0,44.85,34.0,34.65,54.0,5.46,96.0,9.0,7.0,2.34,0.95,2.41,2.0,1.0,1.0,29.0,0.0,0.0
51,8448535,Olie Kolzig,T.B,G,8,24603.0,18.7,25.0,413.0,15.13,14.0,49.85,35.0,218.9,245.0,5.65,7.0,126.52,117.0,94.16,116.0,17.55,238.0,59.0,16.0,6.47,6.66,5.57,6.0,12.0,7.0,100.0,0.0,0.0
56,8468550,Mikael Tellqvist,BUF,G,21,60449.0,45.21,47.0,957.0,33.09,25.0,108.38,121.0,485.7,533.0,15.25,15.0,278.31,257.0,212.35,277.0,43.96,583.0,120.0,32.0,17.7,14.48,13.03,13.0,19.0,15.0,222.0,0.0,0.0
61,8470772,Chris Holt,STL,G,1,1113.0,0.16,0.0,8.0,0.18,0.0,0.58,1.0,2.94,3.0,0.38,1.0,1.54,0.0,1.46,3.0,0.16,4.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
66,8468481,Rick DiPietro,NYI,G,5,15359.0,11.39,15.0,258.0,10.09,13.0,31.98,27.0,137.88,139.0,4.77,5.0,81.31,74.0,56.88,58.0,10.93,152.0,31.0,13.0,3.51,3.65,4.23,4.0,4.0,7.0,62.0,2.0,1.0
71,8448382,Curtis Joseph,TOR,G,20,50142.0,41.08,50.0,748.0,27.95,21.0,88.69,59.0,412.98,383.0,15.04,14.0,226.95,191.0,174.11,241.0,39.57,408.0,127.0,38.0,12.01,15.25,13.81,15.0,18.0,17.0,175.0,0.0,0.0
76,8462147,Miikka Kiprusoff,CGY,G,76,265079.0,189.46,209.0,3697.0,145.14,146.0,478.79,499.0,2118.21,2155.0,74.32,68.0,1195.19,920.0,897.98,1157.0,180.78,2260.0,561.0,170.0,63.63,66.79,59.04,73.0,77.0,59.0,706.0,2.0,1.0
81,8468166,Curtis Sanford,VAN,G,19,58355.0,40.92,42.0,846.0,30.92,27.0,99.47,81.0,454.85,448.0,14.93,15.0,260.84,209.0,193.39,270.0,39.23,499.0,105.0,38.0,14.66,12.5,13.76,17.0,12.0,13.0,204.0,2.0,1.0
86,8474488,Matt Climie,DAL,G,3,11056.0,8.65,9.0,160.0,6.43,7.0,19.61,10.0,91.09,85.0,2.72,2.0,53.25,43.0,36.09,57.0,7.92,97.0,23.0,7.0,3.01,2.92,2.72,3.0,4.0,2.0,33.0,0.0,0.0
91,8473461,Steve Mason,CBJ,G,61,219711.0,134.99,140.0,3023.0,106.17,93.0,354.45,279.0,1580.03,1658.0,50.86,76.0,901.49,834.0,672.15,864.0,130.99,1782.0,391.0,105.0,51.47,46.88,36.64,50.0,50.0,40.0,745.0,2.0,1.0
96,8462047,Martin Biron,PHI,G,55,189391.0,143.13,146.0,3178.0,113.94,116.0,395.38,421.0,1694.58,1718.0,48.6,41.0,949.06,772.0,715.07,872.0,137.08,1876.0,364.0,139.0,51.95,44.03,47.15,55.0,43.0,48.0,799.0,0.0,0.0
101,8470266,Tobias Stephan,DAL,G,10,26272.0,18.55,27.0,338.0,13.33,8.0,41.17,45.0,190.37,208.0,5.54,6.0,106.58,62.0,80.54,120.0,18.19,195.0,61.0,12.0,6.7,7.37,4.48,11.0,12.0,4.0,70.0,0.0,0.0
106,8458988,Manny Fernandez,BOS,G,28,98644.0,73.72,71.0,1355.0,50.09,51.0,169.49,189.0,765.79,791.0,26.15,27.0,411.06,295.0,324.82,437.0,71.54,779.0,209.0,72.0,23.15,25.07,25.5,23.0,23.0,25.0,295.0,2.0,1.0
111,8471695,Tuukka Rask,BOS,G,1,3598.0,1.76,0.0,55.0,1.63,2.0,7.39,10.0,29.83,35.0,0.99,2.0,16.16,13.0,15.16,18.0,1.72,39.0,3.0,2.0,0.93,0.34,0.49,0.0,0.0,0.0,11.0,0.0,0.0
116,8471186,Yann Danis,NYI,G,31,105607.0,87.6,84.0,1791.0,64.15,59.0,203.81,218.0,919.32,933.0,27.32,18.0,512.47,421.0,394.23,486.0,84.64,987.0,221.0,91.0,28.0,27.1,32.5,28.0,27.0,29.0,492.0,0.0,0.0
121,8470594,Marc-Andre Fleury,PIT,G,62,218191.0,154.13,162.0,3471.0,122.25,118.0,411.05,356.0,1823.07,1850.0,53.43,64.0,1019.68,855.0,770.33,973.0,148.04,1983.0,432.0,132.0,55.16,51.49,47.47,55.0,56.0,51.0,924.0,8.0,4.0
126,8473474,Riku Helenius,T.B,G,1,412.0,0.09,0.0,3.0,0.13,0.0,0.56,1.0,2.07,2.0,0.17,0.0,1.3,2.0,0.86,0.0,0.09,3.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,8469732,Joey MacDonald,NYI,G,49,166064.0,133.28,157.0,2986.0,108.59,104.0,346.31,396.0,1539.82,1584.0,41.21,48.0,880.21,712.0,669.49,790.0,127.69,1695.0,385.0,115.0,49.17,46.37,37.74,66.0,49.0,42.0,791.0,6.0,3.0
136,8473975,Erik Ersberg,L.A,G,28,88620.0,61.24,65.0,1276.0,43.79,43.0,142.59,152.0,647.12,651.0,24.12,24.0,365.89,342.0,278.4,337.0,58.8,767.0,140.0,56.0,24.0,17.42,19.82,26.0,21.0,18.0,313.0,2.0,1.0
141,8466339,Scott Clemmensen,N.J,G,40,141319.0,90.75,94.0,2004.0,72.75,57.0,248.54,245.0,1098.66,1138.0,38.14,21.0,613.53,455.0,468.4,653.0,87.92,1218.0,234.0,84.0,34.16,27.92,28.66,30.0,31.0,33.0,468.0,2.0,1.0
146,8467453,Andrew Raycroft,COL,G,31,103046.0,73.5,90.0,1620.0,55.54,70.0,186.87,193.0,822.47,836.0,24.95,16.0,457.78,352.0,361.11,469.0,71.25,956.0,183.0,59.0,30.4,22.21,20.89,33.0,29.0,28.0,422.0,2.0,1.0
151,8455710,Martin Brodeur,N.J,G,31,108815.0,70.14,73.0,1466.0,53.72,48.0,180.77,154.0,808.75,870.0,31.67,27.0,449.36,351.0,353.11,488.0,68.12,897.0,183.0,59.0,25.19,22.09,22.85,22.0,25.0,26.0,327.0,4.0,2.0
156,8468685,Henrik Lundqvist,NYR,G,70,252766.0,176.65,169.0,3618.0,134.46,121.0,446.75,402.0,2004.57,2035.0,73.73,62.0,1124.0,922.0,862.3,1142.0,167.76,2137.0,520.0,164.0,59.7,61.42,55.51,56.0,62.0,51.0,797.0,0.0,0.0
161,8458568,Chris Osgood,DET,G,46,159763.0,117.96,137.0,2004.0,78.09,77.0,257.23,247.0,1170.13,1208.0,49.36,56.0,636.34,495.0,485.41,630.0,112.62,1186.0,318.0,119.0,36.97,38.61,42.38,43.0,43.0,51.0,381.0,8.0,3.0
166,8474550,Antti Niemi,CHI,G,3,8479.0,4.88,8.0,86.0,3.49,3.0,11.41,7.0,52.0,59.0,2.63,6.0,28.09,26.0,20.57,26.0,4.68,54.0,12.0,5.0,1.64,1.45,1.78,2.0,3.0,3.0,15.0,0.0,0.0
171,8471239,Cory Schneider,VAN,G,8,21324.0,15.53,20.0,313.0,11.65,7.0,37.66,38.0,170.8,162.0,5.42,6.0,95.92,59.0,71.84,114.0,15.32,169.0,56.0,13.0,5.34,6.56,3.62,7.0,7.0,6.0,75.0,0.0,0.0
176,8465161,Steve Valiquette,NYR,G,15,51803.0,39.6,41.0,798.0,31.25,31.0,100.68,88.0,445.66,450.0,13.93,11.0,248.0,227.0,186.83,218.0,37.89,454.0,138.0,29.0,13.92,17.52,8.16,16.0,16.0,9.0,177.0,2.0,1.0
181,8471302,Justin Pogge,TOR,G,7,22302.0,14.75,27.0,312.0,10.9,4.0,35.28,26.0,165.5,173.0,6.17,10.0,92.51,72.0,77.46,102.0,14.56,176.0,46.0,14.0,4.65,5.58,4.52,14.0,8.0,5.0,76.0,0.0,0.0
186,8470093,Mike McKenna,T.B,G,15,46551.0,34.46,46.0,698.0,27.18,18.0,84.96,84.0,384.08,406.0,11.67,12.0,215.97,150.0,164.26,234.0,33.26,400.0,119.0,23.0,12.6,14.67,7.19,15.0,19.0,12.0,156.0,0.0,0.0
191,8470090,Fredrik Norrena,CBJ,G,8,19391.0,11.77,17.0,246.0,8.49,9.0,28.54,17.0,126.09,133.0,5.12,5.0,72.59,59.0,55.58,77.0,11.34,147.0,23.0,12.0,4.27,3.04,4.46,4.0,5.0,8.0,64.0,0.0,0.0
196,8471734,Jonathan Quick,L.A,G,44,149094.0,110.7,103.0,2253.0,84.61,67.0,267.15,257.0,1204.12,1200.0,38.22,22.0,690.33,611.0,504.72,633.0,107.32,1266.0,348.0,89.0,37.93,41.79,30.98,27.0,42.0,34.0,550.0,0.0,0.0
201,8469152,Ty Conklin,DET,G,39,129732.0,84.93,91.0,1695.0,63.65,46.0,208.94,260.0,937.88,1001.0,40.21,51.0,522.77,404.0,391.48,504.0,81.7,1031.0,255.0,69.0,32.05,29.72,23.16,43.0,24.0,24.0,340.0,4.0,2.0
206,8470880,Brian Elliott,OTT,G,31,100022.0,68.85,77.0,1438.0,51.02,56.0,172.35,173.0,762.76,786.0,24.44,20.0,428.6,328.0,321.04,413.0,65.33,821.0,183.0,64.0,24.18,21.67,23.01,29.0,27.0,21.0,370.0,0.0,0.0
211,8466141,Roberto Luongo,VAN,G,53,188190.0,137.6,121.0,2738.0,102.28,91.0,327.97,394.0,1466.23,1519.0,46.96,44.0,833.5,683.0,620.55,772.0,133.58,1596.0,387.0,127.0,46.83,46.57,44.2,41.0,35.0,45.0,628.0,4.0,2.0
216,8460612,Marty Turco,DAL,G,74,258435.0,186.84,203.0,3710.0,138.15,149.0,444.77,406.0,1998.56,1993.0,66.73,56.0,1110.49,925.0,838.18,1093.0,178.83,2168.0,497.0,172.0,64.36,60.48,62.0,61.0,75.0,67.0,873.0,16.0,8.0
221,8462052,Brian Boucher,S.J,G,22,77183.0,50.05,47.0,985.0,37.42,37.0,122.35,148.0,546.56,563.0,21.83,23.0,298.86,212.0,233.78,313.0,47.93,571.0,142.0,51.0,17.05,16.92,16.08,22.0,10.0,15.0,221.0,0.0,0.0
226,8460535,Jose Theodore,WSH,G,57,195807.0,144.23,157.0,2940.0,110.45,98.0,342.99,316.0,1563.13,1572.0,56.0,53.0,884.27,729.0,653.29,849.0,138.75,1647.0,427.0,119.0,50.44,51.94,41.85,51.0,54.0,52.0,747.0,6.0,3.0
231,8470584,Wade Dubielewicz,CBJ,G,3,10118.0,5.64,10.0,129.0,4.86,4.0,14.99,15.0,68.7,77.0,2.62,9.0,40.34,30.0,28.05,33.0,5.52,81.0,11.0,4.0,2.72,1.29,1.63,6.0,2.0,2.0,33.0,0.0,0.0
236,8460703,Tim Thomas,BOS,G,53,191840.0,137.13,112.0,2945.0,104.48,103.0,359.03,403.0,1572.72,1664.0,48.79,46.0,867.28,649.0,675.8,895.0,131.86,1685.0,398.0,121.0,47.01,47.37,42.75,33.0,45.0,34.0,741.0,6.0,3.0
241,8459463,Kevin Weekes,N.J,G,16,47377.0,31.02,32.0,691.0,23.9,23.0,84.61,86.0,369.82,399.0,12.67,6.0,206.59,154.0,158.26,216.0,30.27,416.0,80.0,22.0,11.86,9.29,9.86,12.0,10.0,10.0,173.0,0.0,0.0
246,8473404,Niklas Backstrom,MIN,G,71,244930.0,160.38,159.0,3707.0,132.47,126.0,457.01,505.0,1968.48,2059.0,57.39,33.0,1111.7,909.0,838.94,1089.0,155.72,2226.0,480.0,124.0,65.3,55.9,39.18,56.0,58.0,45.0,877.0,6.0,2.0
251,8471230,Marek Schwarz,STL,G,2,923.0,0.14,0.0,10.0,0.34,0.0,1.0,2.0,4.94,5.0,0.15,0.0,3.12,2.0,2.25,3.0,0.14,7.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
256,8467950,Craig Anderson,FLA,G,31,98154.0,83.98,74.0,1689.0,66.46,65.0,209.85,241.0,941.05,977.0,23.47,16.0,524.51,410.0,392.14,492.0,80.9,983.0,252.0,76.0,29.14,30.77,24.07,24.0,29.0,21.0,378.0,2.0,1.0
261,8459579,Patrick Lalime,BUF,G,24,77802.0,55.35,67.0,1187.0,39.53,36.0,133.33,126.0,591.8,669.0,19.02,13.0,339.58,317.0,262.82,336.0,52.38,712.0,145.0,45.0,21.34,17.3,16.72,25.0,21.0,21.0,285.0,0.0,0.0
266,8469461,Pascal Leclaire,CBJ,G,12,40420.0,28.34,43.0,579.0,19.69,17.0,60.27,45.0,280.46,324.0,8.79,11.0,159.56,155.0,124.04,162.0,26.8,324.0,81.0,24.0,10.47,9.61,8.25,18.0,12.0,13.0,150.0,0.0,0.0
271,8459140,Nikolai Khabibulin,CHI,G,42,146746.0,104.16,96.0,1928.0,71.89,71.0,224.14,210.0,1038.73,1192.0,36.7,29.0,570.86,430.0,432.73,670.0,100.3,1127.0,296.0,94.0,36.98,35.37,31.8,35.0,29.0,32.0,411.0,8.0,4.0
276,8468011,Ryan Miller,BUF,G,59,202395.0,139.72,145.0,3198.0,115.44,87.0,393.65,369.0,1719.59,1773.0,51.88,54.0,983.77,790.0,745.32,1004.0,134.35,1911.0,433.0,105.0,53.23,51.77,34.72,58.0,49.0,38.0,749.0,4.0,2.0
281,8460806,Dwayne Roloson,EDM,G,63,215511.0,169.45,166.0,3448.0,126.47,140.0,426.84,467.0,1859.57,1953.0,49.58,50.0,1053.0,888.0,783.64,940.0,163.01,2033.0,488.0,143.0,63.1,59.67,46.69,60.0,63.0,43.0,784.0,10.0,5.0
286,8473972,Jonas Hiller,ANA,G,46,148823.0,108.72,99.0,2128.0,84.59,86.0,263.29,253.0,1191.49,1217.0,40.54,40.0,685.47,537.0,502.93,704.0,102.24,1298.0,327.0,92.0,38.12,39.25,31.34,27.0,39.0,33.0,411.0,0.0,0.0
291,8462152,Chris Mason,STL,G,57,192894.0,130.18,129.0,2925.0,104.93,93.0,341.84,316.0,1520.03,1544.0,46.83,35.0,872.67,785.0,645.14,836.0,124.95,1703.0,390.0,110.0,51.72,44.87,33.6,52.0,39.0,38.0,722.0,0.0,0.0
296,8467913,Alex Auld,OTT,G,43,150866.0,103.97,102.0,2201.0,75.12,81.0,249.74,221.0,1099.7,1168.0,35.72,34.0,613.33,506.0,467.13,665.0,99.49,1223.0,298.0,93.0,37.36,35.7,30.91,40.0,33.0,29.0,587.0,2.0,2.0
301,8468038,Michael Leighton,CAR,G,19,61731.0,48.0,50.0,970.0,35.84,53.0,116.03,95.0,517.44,507.0,17.25,9.0,292.16,233.0,222.82,290.0,46.57,558.0,126.0,51.0,16.51,15.47,16.02,14.0,15.0,21.0,235.0,4.0,2.0
306,8469658,Cristobal Huet,CHI,G,41,139858.0,97.09,99.0,1861.0,74.14,58.0,224.67,209.0,1046.78,1082.0,38.06,36.0,581.19,456.0,431.28,602.0,94.16,1047.0,318.0,82.0,31.84,38.47,26.8,26.0,46.0,27.0,414.0,2.0,1.0
311,8473575,Semyon Varlamov,WSH,G,6,19713.0,15.96,13.0,276.0,11.51,12.0,34.2,39.0,156.85,159.0,5.61,4.0,84.27,68.0,62.51,76.0,15.55,153.0,49.0,13.0,5.06,6.35,4.56,4.0,5.0,4.0,61.0,2.0,1.0
316,8470320,Cam Ward,CAR,G,68,234483.0,178.45,160.0,3642.0,130.49,163.0,430.13,369.0,1886.55,1901.0,66.83,61.0,1041.35,848.0,790.21,1080.0,171.34,2048.0,473.0,165.0,62.47,58.13,57.85,53.0,55.0,52.0,956.0,4.0,2.0
321,8462044,Jean-Sebastien Giguere,ANA,G,46,147109.0,109.46,127.0,2139.0,83.39,83.0,269.87,229.0,1206.7,1274.0,34.88,27.0,696.02,593.0,500.38,682.0,106.15,1365.0,295.0,91.0,41.09,34.92,33.45,55.0,30.0,42.0,388.0,4.0,2.0
326,8469675,Martin Gerber,TOR,G,26,92680.0,76.75,78.0,1539.0,55.56,35.0,178.04,131.0,812.98,799.0,23.66,21.0,455.51,431.0,346.31,435.0,74.26,865.0,199.0,76.0,24.67,24.56,27.51,26.0,23.0,29.0,399.0,16.0,4.0
331,8470657,Jimmy Howard,DET,G,1,3516.0,2.18,4.0,46.0,1.77,1.0,6.05,4.0,27.21,28.0,1.06,0.0,15.53,15.0,11.59,13.0,2.15,26.0,12.0,0.0,0.75,1.43,0.0,2.0,2.0,0.0,8.0,0.0,0.0
336,8462161,Brent Johnson,WSH,G,21,67869.0,49.2,53.0,1031.0,38.86,30.0,123.38,138.0,551.72,579.0,18.99,16.0,319.78,257.0,230.18,290.0,47.94,597.0,152.0,32.0,18.36,18.8,12.04,26.0,14.0,13.0,250.0,4.0,2.0
341,8471403,Karri Ramo,T.B,G,24,82314.0,71.55,83.0,1432.0,54.23,56.0,168.49,183.0,763.48,793.0,18.48,14.0,434.63,366.0,321.92,369.0,69.61,822.0,200.0,62.0,24.24,23.66,23.65,21.0,30.0,32.0,348.0,2.0,2.0
346,8460705,Evgeni Nabokov,S.J,G,62,220886.0,140.76,150.0,3018.0,108.28,127.0,362.8,398.0,1589.83,1663.0,62.56,52.0,890.39,678.0,671.97,885.0,135.29,1764.0,383.0,127.0,51.25,46.72,42.79,52.0,50.0,48.0,744.0,12.0,6.0
351,8471750,Ben Bishop,STL,G,6,14699.0,9.98,12.0,252.0,8.76,11.0,29.02,30.0,125.83,112.0,3.66,1.0,71.97,56.0,53.09,67.0,9.35,138.0,28.0,11.0,4.08,3.27,2.63,4.0,4.0,4.0,75.0,0.0,0.0
356,8470216,Josh Harding,MIN,G,19,50989.0,36.66,32.0,781.0,30.91,20.0,100.32,114.0,450.66,453.0,13.39,9.0,253.92,202.0,192.03,243.0,34.98,498.0,107.0,24.0,16.13,12.64,7.89,14.0,12.0,6.0,152.0,2.0,1.0
361,8468524,Ilya Bryzgalov,ARI,G,64,221998.0,165.17,186.0,3689.0,130.57,132.0,441.85,375.0,1948.37,1958.0,52.85,48.0,1101.42,880.0,874.06,1149.0,159.93,2188.0,473.0,129.0,61.35,57.11,46.71,57.0,69.0,60.0,899.0,2.0,1.0
366,8471715,Ondrej Pavelec,ATL,G,12,35965.0,27.39,36.0,514.0,19.35,17.0,64.44,52.0,287.63,301.0,7.8,4.0,161.19,139.0,118.53,151.0,26.2,305.0,75.0,23.0,9.17,8.73,9.48,13.0,13.0,10.0,111.0,0.0,0.0
371,8468540,Dan Ellis,NSH,G,35,117883.0,92.58,96.0,1773.0,63.82,74.0,208.16,197.0,921.14,963.0,27.69,35.0,515.45,416.0,382.28,527.0,88.31,1030.0,218.0,97.0,32.71,26.51,33.35,24.0,35.0,37.0,428.0,2.0,1.0
376,8470074,Jeff Deslauriers,EDM,G,10,32077.0,28.43,30.0,543.0,20.44,16.0,70.3,77.0,305.75,302.0,8.54,14.0,174.35,146.0,127.41,155.0,27.62,317.0,90.0,25.0,9.23,10.85,8.35,10.0,9.0,11.0,111.0,0.0,0.0
381,8464999,Mathieu Garon,PIT,G,19,61234.0,48.88,53.0,952.0,36.09,41.0,117.93,101.0,524.07,502.0,16.24,28.0,292.34,243.0,216.57,280.0,47.35,552.0,126.0,52.0,15.85,14.86,18.17,12.0,16.0,25.0,222.0,0.0,0.0
386,8469608,Mike Smith,T.B,G,41,147981.0,105.61,108.0,2244.0,83.69,75.0,274.76,303.0,1228.93,1282.0,37.4,34.0,691.45,541.0,531.69,673.0,102.39,1345.0,291.0,96.0,37.22,34.93,33.47,41.0,31.0,36.0,512.0,23.0,6.0
391,8474202,John Curry,PIT,G,3,8985.0,6.87,6.0,133.0,4.83,7.0,14.56,11.0,69.23,69.0,2.56,2.0,37.54,30.0,30.02,37.0,6.69,69.0,21.0,6.0,1.96,2.41,2.5,1.0,2.0,3.0,37.0,0.0,0.0
396,8474771,Peter Mannino,NYI,G,3,7973.0,9.72,10.0,161.0,6.95,7.0,18.58,15.0,87.62,87.0,1.54,1.0,49.79,46.0,31.23,41.0,9.27,70.0,41.0,9.0,2.23,5.1,2.39,2.0,6.0,2.0,41.0,0.0,0.0
401,8471679,Carey Price,MTL,G,52,180336.0,135.94,143.0,2840.0,101.03,113.0,333.95,326.0,1468.55,1513.0,45.39,54.0,803.69,638.0,613.03,822.0,130.36,1570.0,370.0,137.0,45.83,45.34,44.77,44.0,45.0,54.0,763.0,4.0,2.0
406,8460712,Tomas Vokoun,FLA,G,59,199209.0,155.41,138.0,3278.0,126.28,142.0,412.17,471.0,1814.49,1856.0,51.7,63.0,1030.63,775.0,760.78,965.0,148.65,1992.0,432.0,132.0,57.43,51.06,46.91,46.0,49.0,43.0,722.0,2.0,1.0
411,8460704,Johan Hedberg,ATL,G,33,109922.0,87.14,106.0,1740.0,64.35,54.0,205.13,206.0,926.8,937.0,26.2,14.0,523.11,437.0,389.08,474.0,83.96,947.0,275.0,82.0,28.83,31.77,26.55,36.0,34.0,36.0,436.0,2.0,1.0
416,8467511,Antero Niittymaki,PHI,G,32,108255.0,84.09,83.0,1761.0,65.17,75.0,213.77,205.0,936.34,947.0,28.2,19.0,526.14,434.0,391.38,496.0,80.91,1022.0,211.0,87.0,30.27,25.32,28.51,33.0,25.0,25.0,441.0,2.0,1.0
421,8459308,Manny Legace,STL,G,29,86839.0,54.64,77.0,1253.0,38.1,41.0,138.55,136.0,595.51,669.0,20.52,27.0,338.16,295.0,259.18,360.0,53.22,771.0,118.0,47.0,23.04,14.21,17.4,37.0,15.0,25.0,317.0,0.0,0.0
426,8471219,Al Montoya,ARI,G,5,15568.0,10.52,9.0,243.0,8.12,5.0,26.46,24.0,118.49,120.0,3.81,0.0,69.37,62.0,50.82,66.0,9.89,129.0,32.0,9.0,3.98,3.74,2.79,0.0,6.0,3.0,73.0,0.0,0.0
431,8470860,Jaroslav Halak,MTL,G,34,115848.0,101.02,92.0,2057.0,74.37,70.0,243.35,253.0,1090.51,1077.0,29.38,25.0,595.62,508.0,454.91,556.0,96.83,1145.0,265.0,100.0,32.93,32.64,35.44,28.0,32.0,32.0,547.0,0.0,0.0
436,8462055,Marc Denis,MTL,G,1,1200.0,0.57,1.0,9.0,0.41,0.0,1.3,0.0,6.79,7.0,0.28,0.0,3.49,3.0,3.02,5.0,0.55,6.0,3.0,0.0,0.21,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0
441,8468489,Brent Krahn,DAL,G,1,1200.0,1.09,3.0,18.0,0.76,2.0,2.48,2.0,10.25,9.0,0.18,0.0,5.51,3.0,3.82,4.0,1.02,10.0,1.0,3.0,0.29,0.11,0.69,1.0,0.0,2.0,4.0,0.0,0.0
1,8471251,Justin Peters,CAR,G,9,29280.0,27.37,23.0,475.0,18.41,29.0,60.98,55.0,271.25,241.0,7.89,10.0,143.34,110.0,111.2,142.0,26.57,263.0,76.0,31.0,7.58,9.11,10.68,7.0,6.0,10.0,105.0,0.0,0.0
6,8470140,Kari Lehtonen,DAL,G,12,38578.0,31.54,31.0,654.0,24.58,21.0,77.58,95.0,350.95,350.0,9.7,12.0,196.6,163.0,146.62,170.0,30.43,363.0,97.0,28.0,11.08,11.73,8.73,5.0,14.0,12.0,166.0,0.0,0.0
11,8470147,Curtis McElhinney,ANA,G,20,61132.0,45.65,51.0,916.0,33.48,31.0,107.2,91.0,485.22,523.0,15.58,15.0,279.67,242.0,200.75,302.0,43.88,570.0,126.0,34.0,18.78,14.78,12.1,23.0,16.0,12.0,186.0,0.0,0.0
16,8468011,Ryan Miller,BUF,G,69,241943.0,179.38,150.0,3715.0,139.69,118.0,446.64,467.0,2024.6,2098.0,63.65,75.0,1134.42,873.0,882.66,1217.0,173.26,2169.0,581.0,137.0,67.3,70.4,41.69,59.0,51.0,40.0,828.0,4.0,2.0
21,8462117,Vesa Toskala,CGY,G,32,96297.0,77.94,93.0,1493.0,56.1,40.0,175.7,166.0,808.67,773.0,28.47,28.0,444.05,360.0,331.42,422.0,74.13,817.0,217.0,77.0,23.86,25.87,28.22,37.0,26.0,30.0,382.0,4.0,2.0
26,8475080,Johan Backlund,PHI,G,1,2400.0,2.45,2.0,46.0,1.69,3.0,5.52,7.0,23.29,24.0,0.66,1.0,13.63,6.0,9.92,16.0,2.41,22.0,9.0,3.0,0.75,0.95,0.75,0.0,0.0,2.0,12.0,0.0,0.0
31,8470880,Brian Elliott,OTT,G,55,182276.0,120.92,130.0,2657.0,95.74,103.0,316.71,312.0,1394.49,1424.0,45.98,44.0,779.83,620.0,583.04,722.0,117.16,1484.0,343.0,115.0,41.99,41.05,37.87,50.0,49.0,31.0,715.0,0.0,0.0
36,8467511,Antero Niittymaki,T.B,G,49,159431.0,131.52,127.0,2501.0,98.63,104.0,299.92,285.0,1374.59,1388.0,37.23,27.0,764.87,634.0,577.99,724.0,124.44,1434.0,354.0,129.0,43.57,43.3,44.66,27.0,48.0,52.0,584.0,0.0,0.0
